ID	Transcript number	PERSON	NUMBER	PERSON.NUMBER	ANIMACY	REFLEXIVITY	VOICE
109	TOR_C_0003_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
110	TOR_C_00033_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
111	TOR_C_0037_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
112	TOR_C_0046_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
113	TOR_C_0046_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
114	TOR_C_0059_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
115	TOR_C_0071_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
116	TOR_C_00022_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
117	TOR_C_0062_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
118	TOR_C_0048_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
119	TOR_C_0068_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
120	TOR_C_0041_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
121	TOR_C_0083_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
122	TOR_C_0073_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
123	TOR_C_0009_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
124	TOR_C_0042_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
125	TOR_C_0048_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
126	TOR_C_0099_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
127	TOR_C_0003_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
128	TOR_C_00016_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
129	TOR_C_0067_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
130	TOR_C_0001_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
131	TOR_C_00029_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
132	TOR_C_0049_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
133	TOR_C_0060_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
134	TOR_C_0061_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
135	TOR_C_0093_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
136	TOR_C_0094_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
137	TOR_C_0094_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
138	TOR_C_0101_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
139	TOR_C_0101_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
140	TOR_C_00030_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
141	TOR_C_0037_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
142	TOR_C_0090_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
143	TOR_C_0053_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
144	TOR_C_00019_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
145	TOR_C_0009_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
146	TOR_C_0047_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
147	TOR_C_0101_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
148	TOR_C_00011_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
149	TOR_C_00013_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
150	TOR_C_0042_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
151	TOR_C_00018_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
152	TOR_C_0001_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
153	TOR_C_00013_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
154	TOR_C_00034_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
155	TOR_C_0050_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
156	TOR_C_0062_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
157	TOR_C_0064_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
158	TOR_C_0072_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
159	TOR_C_0079_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
160	TOR_C_0002_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
161	TOR_C_00013_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
162	TOR_C_0048_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
163	TOR_C_0068_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
164	TOR_C_00019_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
165	TOR_C_00028_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
166	TOR_C_0046_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
167	TOR_C_00019_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
168	TOR_C_0046_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
169	TOR_C_00019_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
170	TOR_C_00019_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
171	TOR_C_0006_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
172	TOR_C_0001_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
173	TOR_C_0001_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
174	TOR_C_0003_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
175	TOR_C_00030_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
176	TOR_C_0049_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
177	TOR_C_00033_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
178	TOR_C_0071_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
179	TOR_C_0003_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
180	TOR_C_0070_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
181	TOR_C_00024_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
182	TOR_C_00019_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
183	TOR_C_0005_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
184	TOR_C_0049_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
185	TOR_C_0057_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
186	TOR_C_0079_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
187	TOR_C_00033_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
188	TOR_C_00019_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
189	TOR_C_00030_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
190	TOR_C_00030_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
191	TOR_C_00030_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
192	TOR_C_0052_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
193	TOR_C_0049_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
194	TOR_C_0050_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
195	TOR_C_0051_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
196	TOR_C_00013_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
197	TOR_C_00019_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
198	TOR_C_00031_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
199	TOR_C_00011_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
200	TOR_C_00019_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
201	TOR_C_00034_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
202	TOR_C_00030_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
203	TOR_C_0063_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
204	TOR_C_0001_tagged.txt	1	PL	1PL	ANIMATE	NON-REFL	ACTIVE
