ID	File	Case	Function	PoS
264	TOR_C_0066_tagged.txt	na-OBL	IO	NOUN
266	TOR_C_0007_tagged.txt	na-OBL	IO	NOUN
268	TOR_C_0067_tagged.txt	na-OBL	IO	NOUN
271	TOR_C_00019_tagged.txt	na-OBL	IO	PRONOUN
272	TOR_C_0066_tagged.txt	na-OBL	IO	PRONOUN
274	TOR_C_00016_tagged.txt	na-OBL	IO	NOUN
275	TOR_C_0060_tagged.txt	na-OBL	IO	PRONOUN
276	TOR_C_00020_tagged.txt	na-OBL	IO	PRONOUN
277	TOR_C_0041_tagged.txt	na-OBL	IO	PRONOUN
278	TOR_C_0040_tagged.txt	na-OBL	IO	PRONOUN
279	TOR_C_00020_tagged.txt	na-OBL	IO	PRONOUN
280	TOR_C_0050_tagged.txt	na-OBL	IO	PRONOUN
281	TOR_C_00019_tagged.txt	na-OBL	IO	PRONOUN
282	TOR_C_0056_tagged.txt	na-OBL	IO	PRONOUN
284	TOR_C_00016_tagged.txt	na-OBL	IO	NOUN
285	TOR_C_0066_tagged.txt	na-OBL	IO	PRONOUN
286	TOR_C_0062_tagged.txt	na-OBL	IO	PRONOUN
287	TOR_C_0066_tagged.txt	na-OBL	IO	PRONOUN
289	TOR_C_0066_tagged.txt	na-OBL	IO	NOUN
294	TOR_C_00023_tagged.txt	na-OBL	IO	NOUN
297	TOR_C_00034_tagged.txt	na-OBL	IO	NOUN
301	TOR_C_0099_tagged.txt	na-OBL	IO	NOUN
302	TOR_C_0049_tagged.txt	na-OBL	IO	NOUN
303	TOR_C_0064_tagged.txt	na-OBL	IO	NOUN
304	TOR_C_0008_tagged.txt	na-OBL	IO	NOUN
305	TOR_C_00018_tagged.txt	na-OBL	IO	NOUN
306	TOR_C_0064_tagged.txt	na-OBL	IO	NOUN
309	TOR_C_0041_tagged.txt	na-OBL	IO	NOUN
314	TOR_C_0083_tagged.txt	na-OBL	IO	NOUN
316	TOR_C_0080_tagged.txt	na-OBL	IO	NOUN
322	TOR_C_0047_tagged.txt	na-OBL	IO	NOUN
323	TOR_C_0049_tagged.txt	na-OBL	IO	NOUN
324	TOR_C_0064_tagged.txt	na-OBL	IO	NOUN
325	TOR_C_0046_tagged.txt	na-OBL	IO	NOUN
326	TOR_C_0086_tagged.txt	na-OBL	IO	NOUN
327	TOR_C_0053_tagged.txt	na-OBL	IO	NOUN
328	TOR_C_00025_tagged.txt	na-OBL	IO	NOUN
329	TOR_C_0046_tagged.txt	na-OBL	IO	NOUN
330	TOR_C_00019_tagged.txt	na-OBL	IO	NOUN
331	TOR_C_00030_tagged.txt	na-OBL	IO	NOUN
332	TOR_C_0037_tagged.txt	na-OBL	IO	NOUN
333	TOR_C_0037_tagged.txt	na-OBL	IO	NOUN
334	TOR_C_0037_tagged.txt	na-OBL	IO	NOUN
335	TOR_C_0100_tagged.txt	na-OBL	IO	NOUN
336	TOR_C_0041_tagged.txt	na-OBL	IO	NOUN
337	TOR_C_0066_tagged.txt	na-OBL	IO	NOUN
338	TOR_C_00024_tagged.txt	na-OBL	IO	NOUN
339	TOR_C_0083_tagged.txt	na-OBL	IO	NOUN
340	TOR_C_00024_tagged.txt	na-OBL	IO	NOUN
341	TOR_C_00024_tagged.txt	na-OBL	IO	NOUN
342	TOR_C_00024_tagged.txt	na-OBL	IO	NOUN
343	TOR_C_0045_tagged.txt	na-OBL	IO	NOUN
344	TOR_C_00029_tagged.txt	na-OBL	IO	NOUN
345	TOR_C_00024_tagged.txt	na-OBL	IO	NOUN
346	TOR_C_0045_tagged.txt	na-OBL	IO	NOUN
347	TOR_C_0086_tagged.txt	na-OBL	IO	NOUN
348	TOR_C_0083_tagged.txt	na-OBL	IO	NOUN
349	TOR_C_00024_tagged.txt	na-OBL	IO	NOUN
350	TOR_C_00023_tagged.txt	na-OBL	IO	NOUN
351	TOR_C_00010_tagged.txt	na-OBL	IO	NOUN
352	TOR_C_0002_tagged.txt	na-OBL	IO	NOUN
355	TOR_C_0075_tagged.txt	na-OBL	IO	NOUN
358	TOR_C_0086_tagged.txt	na-OBL	IO	NOUN
360	TOR_C_0083_tagged.txt	na-OBL	IO	NOUN
361	TOR_C_0064_tagged.txt	na-OBL	IO	NOUN
362	TOR_C_0069_tagged.txt	na-OBL	IO	NOUN
363	TOR_C_0008_tagged.txt	na-OBL	IO	NOUN
364	TOR_C_0049_tagged.txt	na-OBL	IO	NOUN
365	TOR_C_0099_tagged.txt	na-OBL	IO	NOUN
366	TOR_C_00010_tagged.txt	na-OBL	IO	NOUN
367	TOR_C_00024_tagged.txt	na-OBL	IO	NOUN
368	TOR_C_0008_tagged.txt	na-OBL	IO	NOUN
369	TOR_C_0090_tagged.txt	na-OBL	IO	NOUN
370	TOR_C_0009_tagged.txt	na-OBL	IO	NOUN
371	TOR_C_0072_tagged.txt	na-OBL	IO	NOUN
372	TOR_C_0072_tagged.txt	na-OBL	IO	NOUN
374	TOR_C_0045_tagged.txt	na-OBL	IO	NOUN
376	TOR_C_00016_tagged.txt	na-OBL	IO	NOUN
384	TOR_C_00016_tagged.txt	na-OBL	IO	NOUN
387	TOR_C_0004_tagged.txt	na-OBL	IO	NOUN
389	TOR_C_00010_tagged.txt	na-OBL	IO	NOUN
390	TOR_C_0083_tagged.txt	na-OBL	IO	NOUN
391	TOR_C_00010_tagged.txt	na-OBL	IO	NOUN
392	TOR_C_00010_tagged.txt	na-OBL	IO	NOUN
393	TOR_C_0041_tagged.txt	na-OBL	IO	NOUN
394	TOR_C_00010_tagged.txt	na-OBL	IO	NOUN
395	TOR_C_0089_tagged.txt	na-OBL	IO	NOUN
396	TOR_C_0070_tagged.txt	na-OBL	IO	NOUN
410	TOR_C_0099_tagged.txt	na-OBL	IO	NOUN
411	TOR_C_0079_tagged.txt	na-OBL	IO	NOUN
412	TOR_C_0073_tagged.txt	na-OBL	IO	NOUN
413	TOR_C_00024_tagged.txt	na-OBL	IO	NOUN
414	TOR_C_0041_tagged.txt	na-OBL	IO	NOUN
415	TOR_C_0080_tagged.txt	na-OBL	IO	NOUN
416	TOR_C_0064_tagged.txt	na-OBL	IO	NOUN
417	TOR_C_0002_tagged.txt	na-OBL	IO	NOUN
418	TOR_C_00019_tagged.txt	na-OBL	IO	PRONOUN
419	TOR_C_00019_tagged.txt	na-OBL	IO	PRONOUN
420	TOR_C_00010_tagged.txt	na-OBL	IO	PRONOUN
421	TOR_C_0066_tagged.txt	na-OBL	IO	PRONOUN
422	TOR_C_00027_tagged.txt	na-OBL	IO	PRONOUN
425	TOR_C_0002_tagged.txt	na-OBL	IO	NOUN
427	TOR_C_0056_tagged.txt	na-OBL	IO	NOUN
429	TOR_C_00023_tagged.txt	na-OBL	IO	NOUN
431	TOR_C_00010_tagged.txt	na-OBL	IO	NOUN
433	TOR_C_0040_tagged.txt	na-OBL	IO	NOUN
436	TOR_C_0056_tagged.txt	na-OBL	IO	NOUN
438	TOR_C_0050_tagged.txt	na-OBL	IO	NOUN
440	TOR_C_0050_tagged.txt	na-OBL	IO	NOUN
442	TOR_C_0037_tagged.txt	na-OBL	IO	NOUN
444	TOR_C_0059_tagged.txt	na-OBL	IO	NOUN
446	TOR_C_0089_tagged.txt	na-OBL	IO	NOUN
448	TOR_C_00034_tagged.txt	na-OBL	IO	NOUN
450	TOR_C_0049_tagged.txt	na-OBL	IO	NOUN
451	TOR_C_0046_tagged.txt	na-OBL	IO	NOUN
452	TOR_C_00030_tagged.txt	na-OBL	IO	NOUN
453	TOR_C_00024_tagged.txt	na-OBL	IO	NOUN
454	TOR_C_00019_tagged.txt	na-OBL	IO	NOUN
455	TOR_C_0040_tagged.txt	na-OBL	IO	PRONOUN
456	TOR_C_0064_tagged.txt	na-OBL	IO	PRONOUN
457	TOR_C_0066_tagged.txt	na-OBL	IO	PRONOUN
459	TOR_C_00032_tagged.txt	na-OBL	IO	NOUN
460	TOR_C_0083_tagged.txt	na-OBL	IO	NOUN
461	TOR_C_0046_tagged.txt	na-OBL	IO	NOUN
462	TOR_C_0045_tagged.txt	na-OBL	IO	NOUN
463	TOR_C_00029_tagged.txt	na-OBL	IO	NOUN
464	TOR_C_0051_tagged.txt	na-OBL	IO	NOUN
465	TOR_C_0064_tagged.txt	na-OBL	IO	NOUN
466	TOR_C_0086_tagged.txt	na-OBL	IO	NOUN
468	TOR_C_0101_tagged.txt	na-OBL	IO	NOUN
469	TOR_C_0050_tagged.txt	na-OBL	IO	NOUN
470	TOR_C_0037_tagged.txt	na-OBL	IO	NOUN
471	TOR_C_0089_tagged.txt	na-OBL	IO	NOUN
472	TOR_C_0045_tagged.txt	na-OBL	IO	NOUN
473	TOR_C_0045_tagged.txt	na-OBL	IO	NOUN
474	TOR_C_0086_tagged.txt	na-OBL	IO	NOUN
475	TOR_C_0045_tagged.txt	na-OBL	IO	NOUN
476	TOR_C_0086_tagged.txt	na-OBL	IO	NOUN
477	TOR_C_0086_tagged.txt	na-OBL	IO	NOUN
478	TOR_C_00015_tagged.txt	na-OBL	IO	NOUN
479	TOR_C_00024_tagged.txt	na-OBL	IO	NOUN
480	TOR_C_0066_tagged.txt	na-OBL	IO	NOUN
481	TOR_C_0002_tagged.txt	na-OBL	POSS	PRONOUN
482	TOR_C_0041_tagged.txt	na-OBL	POSS	NOUN
483	TOR_C_0041_tagged.txt	na-OBL	POSS	PRONOUN
484	TOR_C_0037_tagged.txt	na-OBL	POSS	NOUN
485	TOR_C_0066_tagged.txt	na-OBL	POSS	NOUN
487	TOR_C_0041_tagged.txt	na-OBL	POSS	NOUN
489	TOR_C_0041_tagged.txt	na-OBL	POSS	NOUN
491	TOR_C_0051_tagged.txt	na-OBL	POSS	NOUN
494	TOR_C_0041_tagged.txt	na-OBL	POSS	PRONOUN
495	TOR_C_0049_tagged.txt	na-OBL	POSS	PRONOUN
498	TOR_C_00024_tagged.txt	na-OBL	POSS	NOUN
500	TOR_C_0037_tagged.txt	na-OBL	POSS	NOUN
501	TOR_C_0004_tagged.txt	na-OBL	POSS	NOUN
502	TOR_C_00015_tagged.txt	na-OBL	POSS	NOUN
503	TOR_C_0049_tagged.txt	na-OBL	POSS	NOUN
504	TOR_C_0045_tagged.txt	na-OBL	POSS	NOUN
505	TOR_C_0045_tagged.txt	na-OBL	POSS	NOUN
506	TOR_C_0056_tagged.txt	na-OBL	POSS	NOUN
507	TOR_C_0062_tagged.txt	na-OBL	POSS	NOUN
508	TOR_C_0069_tagged.txt	na-OBL	POSS	NOUN
509	TOR_C_0003_tagged.txt	na-OBL	POSS	NOUN
510	TOR_C_00023_tagged.txt	na-OBL	POSS	NOUN
511	TOR_C_0009_tagged.txt	na-OBL	POSS	NOUN
512	TOR_C_0049_tagged.txt	na-OBL	POSS	NOUN
513	TOR_C_0038_tagged.txt	na-OBL	POSS	NOUN
514	TOR_C_0001_tagged.txt	na-OBL	POSS	NOUN
515	TOR_C_0001_tagged.txt	na-OBL	POSS	NOUN
516	TOR_C_0067_tagged.txt	na-OBL	POSS	NOUN
517	TOR_C_0061_tagged.txt	na-OBL	POSS	NOUN
518	TOR_C_0076_tagged.txt	na-OBL	POSS	NOUN
519	TOR_C_0003_tagged.txt	na-OBL	POSS	NOUN
520	TOR_C_0037_tagged.txt	na-OBL	POSS	NOUN
521	TOR_C_00023_tagged.txt	na-OBL	POSS	NOUN
522	TOR_C_00023_tagged.txt	na-OBL	POSS	NOUN
523	TOR_C_0052_tagged.txt	na-OBL	POSS	NOUN
526	TOR_C_0003_tagged.txt	na-OBL	POSS	NOUN
527	TOR_C_0003_tagged.txt	na-OBL	POSS	NOUN
528	TOR_C_0003_tagged.txt	na-OBL	POSS	NOUN
529	TOR_C_0003_tagged.txt	na-OBL	POSS	NOUN
530	TOR_C_0048_tagged.txt	na-OBL	POSS	NOUN
531	TOR_C_0048_tagged.txt	na-OBL	POSS	NOUN
532	TOR_C_0086_tagged.txt	na-OBL	POSS	NOUN
533	TOR_C_0009_tagged.txt	na-OBL	POSS	NOUN
534	TOR_C_0037_tagged.txt	na-OBL	POSS	NOUN
535	TOR_C_00033_tagged.txt	na-OBL	POSS	NOUN
536	TOR_C_00029_tagged.txt	na-OBL	POSS	NOUN
537	TOR_C_00016_tagged.txt	na-OBL	POSS	NOUN
538	TOR_C_00020_tagged.txt	na-OBL	POSS	NOUN
539	TOR_C_0004_tagged.txt	na-OBL	POSS	NOUN
540	TOR_C_0083_tagged.txt	na-OBL	POSS	NOUN
541	TOR_C_0006_tagged.txt	na-OBL	POSS	NOUN
543	TOR_C_0037_tagged.txt	na-OBL	POSS	NOUN
544	TOR_C_00019_tagged.txt	na-OBL	POSS	NOUN
545	TOR_C_00019_tagged.txt	na-OBL	POSS	NOUN
546	TOR_C_00029_tagged.txt	na-OBL	POSS	NOUN
547	TOR_C_0069_tagged.txt	na-OBL	POSS	NOUN
548	TOR_C_0001_tagged.txt	na-OBL	POSS	NOUN
549	TOR_C_0069_tagged.txt	na-OBL	POSS	NOUN
551	TOR_C_0070_tagged.txt	na-OBL	POSS	NOUN
553	TOR_C_00023_tagged.txt	na-OBL	POSS	NOUN
554	TOR_C_00023_tagged.txt	na-OBL	POSS	NOUN
556	TOR_C_0007_tagged.txt	na-OBL	POSS	NOUN
557	TOR_C_0045_tagged.txt	na-OBL	POSS	NOUN
558	TOR_C_0045_tagged.txt	na-OBL	POSS	NOUN
559	TOR_C_0009_tagged.txt	na-OBL	POSS	NOUN
560	TOR_C_0037_tagged.txt	na-OBL	POSS	NOUN
561	TOR_C_0037_tagged.txt	na-OBL	POSS	NOUN
562	TOR_C_0006_tagged.txt	na-OBL	POSS	NOUN
563	TOR_C_0006_tagged.txt	na-OBL	POSS	NOUN
564	TOR_C_00030_tagged.txt	na-OBL	POSS	NOUN
565	TOR_C_0040_tagged.txt	na-OBL	POSS	NOUN
566	TOR_C_00028_tagged.txt	na-OBL	POSS	NOUN
567	TOR_C_00028_tagged.txt	na-OBL	POSS	NOUN
568	TOR_C_0040_tagged.txt	na-OBL	POSS	NOUN
569	TOR_C_0051_tagged.txt	na-OBL	POSS	NOUN
570	TOR_C_0009_tagged.txt	na-OBL	POSS	NOUN
