ID	File	Case	Function	NounType	Gender	Number	Animacy	ReferenceToPersons
425	TOR_C_0002_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
427	TOR_C_0056_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
429	TOR_C_00023_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
431	TOR_C_00010_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
433	TOR_C_0040_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
436	TOR_C_0056_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
450	TOR_C_0049_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
451	TOR_C_0046_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
452	TOR_C_00030_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
453	TOR_C_00024_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
464	TOR_C_0051_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
468	TOR_C_0101_tagged.txt	na-OBL	IO	COMMON	MASC	SG	ANIMATE	YES
487	TOR_C_0041_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
489	TOR_C_0041_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
500	TOR_C_0037_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
502	TOR_C_00015_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
503	TOR_C_0049_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
518	TOR_C_0076_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
519	TOR_C_0003_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
520	TOR_C_0037_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
536	TOR_C_00029_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
537	TOR_C_00016_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
543	TOR_C_0037_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
597	TOR_C_0041_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
605	TOR_C_00020_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
608	TOR_C_0089_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
610	TOR_C_0052_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
612	TOR_C_0061_tagged.txt	na-OBL	POSS	COMMON	MASC	SG	ANIMATE	YES
